代碼,類型,貨號,名稱,已發佈,是特色商品？,目錄的可見度,簡短內容說明,描述,折扣價開始日期,折扣價結束日期,稅金狀態,稅率類別,有庫存？,庫存,低庫存量,允許無庫存下單嗎？,單獨銷售?,重量 (公斤),長 (公分),寬 (公分),高 (公分),允許客戶評論嗎？,購買備註,特價,原價,分類,標籤,運送類別,圖片,下載限制,下載點過期天數,上層,組合商品,追加銷售,交叉銷售,外部網址,按鈕文字,位置,屬性 1 名稱,屬性 1 值,屬性 1 可見,屬性 1 全域,屬性 1 預設,Meta: _monsterinsights_sitenote_active,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_wpseo_wordproof_timestamp,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex
,variable,L3,LELO INA 3 多功能雙震動按摩棒,,,visible,"• CG雙點刺激
• 人體工學流線設計
• 10種超強震動模式
• USB針式充電
• IPX7 100%防水
• 小於50分貝靜音設計
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,5338,6280,"給妳的獨享時光 > 入體式按摩棒,LELO, 給妳的獨享時光",,,,,,,,,,,,0,顏色,"水藍, 海藻綠, 珊瑚紅",1,0,水藍,,,,,,,,
,variation,L3-1,LELO INA 3 多功能雙震動按摩棒 - 水藍,,,visible,,,,,,,,,,,,,,,,,,5338,6280,,,,,,,L3,,,,,,1,顏色,水藍,,0,,,,,,,,,
,variation,L3-2,LELO INA 3 多功能雙震動按摩棒 - 海藻綠,,,visible,,,,,,,,,,,,,,,,,,5338,6280,,,,,,,L3,,,,,,2,顏色,海藻綠,,0,,,,,,,,,
,variation,L3-3,LELO INA 3 多功能雙震動按摩棒 - 珊瑚紅,,,visible,,,,,,,,,,,,,,,,,,5338,6280,,,,,,,L3,,,,,,3,顏色,珊瑚紅,,0,,,,,,,,,
,variable,L4,瑞典LELO SORAYA WAVE G點 陰蒂 兔耳型 雙重震動按摩棒,,,visible,"• 模仿手指摳動挑逗
• 強勁雙馬達
• 8種震動模式
• 電力續航加倍
• IP68 防水
• USB針式充電
• 50分貝靜音設計
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,7633,8980,"給妳的獨享時光 > 入體式按摩棒,LELO, 給妳的獨享時光",,,,,,,,,,,,0,顏色,"公爵黑, 午夜藍, 深玫紅",1,0,公爵黑,,,,,,,,
,variation,L4-1,瑞典LELO SORAYA WAVE G點 陰蒂 兔耳型 雙重震動按摩棒 - 公爵黑,,,visible,,,,,,,,,,,,,,,,,,7633,8980,,,,,,,L4,,,,,,1,顏色,公爵黑,,0,,,,,,,,,
,variation,L4-2,瑞典LELO SORAYA WAVE G點 陰蒂 兔耳型 雙重震動按摩棒 - 午夜藍,,,visible,,,,,,,,,,,,,,,,,,7633,8980,,,,,,,L4,,,,,,2,顏色,午夜藍,,0,,,,,,,,,
,variation,L4-3,瑞典LELO SORAYA WAVE G點 陰蒂 兔耳型 雙重震動按摩棒 - 深玫紅,,,visible,,,,,,,,,,,,,,,,,,7633,8980,,,,,,,L4,,,,,,3,顏色,深玫紅,,0,,,,,,,,,
,variable,L5,LELO SILA 體外敏感點聲波按摩器 吸吮器,,,visible,"• 8種聲波強度
• 震動完整覆蓋陰蒂
• 超柔軟安全有機矽膠
• 靜音設計
• 兩小時電池續航
• USB針式充電",,,,,,,,,,,,,,,,,4998,5880,"LELO, 給妳的獨享時光 > 吸吮式按摩器, 給妳的獨享時光",,,,,,,,,,,,0,顏色,"粉色, 翠綠, 薰衣草紫",1,0,粉色,,,,,,,,
,variation,L5-1,LELO SILA 體外敏感點聲波按摩器 吸吮器 - 粉色,,,visible,,,,,,,,,,,,,,,,,,4998,5880,,,,,,,L5,,,,,,1,顏色,粉色,,0,,,,,,,,,
,variation,L5-2,LELO SILA 體外敏感點聲波按摩器 吸吮器 - 翠綠,,,visible,,,,,,,,,,,,,,,,,,4998,5880,,,,,,,L5,,,,,,2,顏色,翠綠,,0,,,,,,,,,
,variation,L5-3,LELO SILA 體外敏感點聲波按摩器 吸吮器 - 薰衣草紫,,,visible,,,,,,,,,,,,,,,,,,4998,5880,,,,,,,L5,,,,,,3,顏色,薰衣草紫,,0,,,,,,,,,
,variable,L6,LELO｜SILA Cruise｜體外敏感點聲波按摩器 吸吮器,,,visible,"• Cruise 控制，壓力增速功能
• 超大吸吮口，完美包覆陰蒂
• 8種超強吸吮模式
• USB針式充電
• IPX7 100%防水
• 60分貝靜音設計
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,5593,6580,"LELO, 給妳的獨享時光 > 吸吮式按摩器, 給妳的獨享時光",,,,,,,,,,,,0,顏色,"粉色, 淡紫, 水藍",1,0,粉色,,,,,,,,
,variation,L6-1,LELO｜SILA Cruise｜體外敏感點聲波按摩器 吸吮器 - 粉色,,,visible,,,,,,,,,,,,,,,,,,5593,6580,,,,,,,L6,,,,,,1,顏色,粉色,,0,,,,,,,,,
,variation,L6-2,LELO｜SILA Cruise｜體外敏感點聲波按摩器 吸吮器 - 淡紫,,,visible,,,,,,,,,,,,,,,,,,5593,6580,,,,,,,L6,,,,,,2,顏色,淡紫,,0,,,,,,,,,
,variation,L6-3,LELO｜SILA Cruise｜體外敏感點聲波按摩器 吸吮器 - 水藍,,,visible,,,,,,,,,,,,,,,,,,5593,6580,,,,,,,L6,,,,,,3,顏色,水藍,,0,,,,,,,,,
,variable,L7,LELO ENIGMA 聲波吸吮器 G點按摩器,,,visible,"• 吸吮＋震動，內外歡愉
• 強勁雙馬達
• 雷射設計
• 人體工學流線設計
• USB針式充電
• IPX7 100%防水
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,5933,6980,"LELO, 給妳的獨享時光 > 入體式按摩棒, 給妳的獨享時光 > 吸吮式按摩器, 給妳的獨享時光, 給妳的獨享時光 > 震動式按摩器",,,,,,,,,,,,0,顏色,"公爵黑, 深玫紅",1,0,公爵黑,,,,,,,,
,variation,L7-1,LELO ENIGMA 聲波吸吮器 G點按摩器 - 公爵黑,,,visible,,,,,,,,,,,,,,,,,,5933,6980,,,,,,,L7,,,,,,1,顏色,公爵黑,,0,,,,,,,,,
,variation,L7-2,LELO ENIGMA 聲波吸吮器 G點按摩器 - 深玫紅,,,visible,,,,,,,,,,,,,,,,,,5933,6980,,,,,,,L7,,,,,,2,顏色,深玫紅,,0,,,,,,,,,
,variable,L8,LELO｜ENIGMA Wave｜雙頭刺激聲波按摩器,,,visible,"• 模仿手指摳動挑逗
• 吸吮＋震動，內外歡愉
• 強勁三馬達
• 8種模式
• 人體工學流線設計
• USB針式充電
• IPX7 100%防水
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,7633,8980,"LELO, 給妳的獨享時光 > 入體式按摩棒, 給妳的獨享時光 > 吸吮式按摩器, 給妳的獨享時光, 給妳的獨享時光 > 震動式按摩器",,,,,,,,,,,,0,顏色,"公爵黑, 深紫",1,0,公爵黑,,,,,,,,
,variation,L8-1,LELO｜ENIGMA Wave｜雙頭刺激聲波按摩器 - 公爵黑,,,visible,,,,,,,,,,,,,,,,,,7633,8980,,,,,,,L8,,,,,,1,顏色,公爵黑,,0,,,,,,,,,
,variation,L8-2,LELO｜ENIGMA Wave｜雙頭刺激聲波按摩器 - 深紫,,,visible,,,,,,,,,,,,,,,,,,7633,8980,,,,,,,L8,,,,,,2,顏色,深紫,,0,,,,,,,,,
,variable,L9,LELO ENIGMA Cruise｜聲波吸吮器 G點按摩器,,,visible,"• Cruise 控制，壓力增速功能
• 吸吮＋震動，內外歡愉
• 強勁雙馬達
• 8種模式
• 雷射設計
• 人體工學流線設計
• USB針式充電
• IPX7 100%防水
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,6528,7680,"LELO, 給妳的獨享時光 > 入體式按摩棒, 給妳的獨享時光 > 吸吮式按摩器, 給妳的獨享時光, 給妳的獨享時光 > 震動式按摩器",,,,,,,,,,,,0,顏色,"公爵黑, 深玫紅",1,0,公爵黑,,,,,,,,
,variation,L9-1,LELO ENIGMA Cruise｜聲波吸吮器 G點按摩器 - 公爵黑,,,visible,,,,,,,,,,,,,,,,,,6528,7680,,,,,,,L9,,,,,,1,顏色,公爵黑,,0,,,,,,,,,
,variation,L9-2,LELO ENIGMA Cruise｜聲波吸吮器 G點按摩器 - 深玫紅,,,visible,,,,,,,,,,,,,,,,,,6528,7680,,,,,,,L9,,,,,,2,顏色,深玫紅,,0,,,,,,,,,
,variable,L10,LELO TIANI DUO｜無線遙控情侶共震按摩器,,,visible,"• 情侶共震器
• 無線動作感應式遙控器
• 強勁雙馬達
• 8種震動模式
• 50分貝靜音設計
• 人體工學流線設計
• USB針式充電
• IPX7 100%防水
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,5933,6980,"給妳的獨享時光 > 入體式按摩棒,LELO, 給伴侶的激情調味, 給妳的獨享時光, 給妳的獨享時光 > 震動式按摩器",,,,,,,,,,,,0,顏色,"公爵黑, 湖水藍",1,0,公爵黑,,,,,,,,
,variation,L10-1,LELO TIANI DUO｜無線遙控情侶共震按摩器 - 公爵黑,,,visible,,,,,,,,,,,,,,,,,,5933,6980,,,,,,,L10,,,,,,1,顏色,公爵黑,,0,,,,,,,,,
,variation,L10-2,LELO TIANI DUO｜無線遙控情侶共震按摩器 - 湖水藍,,,visible,,,,,,,,,,,,,,,,,,5933,6980,,,,,,,L10,,,,,,2,顏色,湖水藍,,0,,,,,,,,,
,variable,L11,LELO｜TIANI Harmony｜情侶共震器,,,visible,"• 情侶共震器
• 藍芽手機APP遙控
• 強勁雙馬達
• 10種震動模式
• 靜音設計
• USB針式充電
• IPX7 100%防水
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,4743,5580,"給妳的獨享時光 > 入體式按摩棒,LELO, 給妳的獨享時光, 給妳的獨享時光 > 震動式按摩器",,,,,,,,,,,,0,顏色,"公爵黑, 湖水綠",1,0,公爵黑,,,,,,,,
,variation,L11-1,LELO｜TIANI Harmony｜情侶共震器 - 公爵黑,,,visible,,,,,,,,,,,,,,,,,,4743,5580,,,,,,,L11,,,,,,1,顏色,公爵黑,,0,,,,,,,,,
,variation,L11-2,LELO｜TIANI Harmony｜情侶共震器 - 湖水綠,,,visible,,,,,,,,,,,,,,,,,,4743,5580,,,,,,,L11,,,,,,2,顏色,湖水綠,,0,,,,,,,,,
,variable,L12,LELO｜IDA WAVE｜雙頭刺激按摩器,,,visible,"• CG雙點刺激
• 手機APP遙控
• 強勁雙馬達
• 10種震動模式
• 靜音設計
• USB針式充電
• IPX7 100%防水
• 食品級安全親膚矽膠""• 藍芽手機APP遙控
• 強勁雙馬達
• 10種震動模式
• 靜音設計
• USB針式充電
• IPX7 100%防水
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,5593,6580,"給妳的獨享時光 > 入體式按摩棒,LELO, 給伴侶的激情調味, 給妳的獨享時光, 給妳的獨享時光 > 震動式按摩器",,,,,,,,,,,,0,顏色,"公爵黑, 珊瑚紅",1,0,公爵黑,,,,,,,,
,variation,L12-1,LELO｜IDA WAVE｜雙頭刺激按摩器 - 公爵黑,,,visible,,,,,,,,,,,,,,,,,,5593,6580,,,,,,,L12,,,,,,1,顏色,公爵黑,,0,,,,,,,,,
,variation,L12-2,LELO｜IDA WAVE｜雙頭刺激按摩器 - 珊瑚紅,,,visible,,,,,,,,,,,,,,,,,,5593,6580,,,,,,,L12,,,,,,2,顏色,珊瑚紅,,0,,,,,,,,,
,variable,L13,LELO｜DOT｜陰蒂尖頭震動按摩器,,,visible,"• 陰蒂多重高潮利器
• 橢圓震動模式
• 柔軟可彎折尖端
• 8種模式
• 60分貝靜音設計
• USB針式充電
• IPX7 100%防水
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,5338,6280,"LELO, 給妳的獨享時光 > 震動式按摩器, 給妳的獨享時光",,,,,,,,,,,,0,顏色,"湖水綠, 淡紫, 淡粉",1,0,湖水綠,,,,,,,,
,variation,L13-1,LELO｜DOT｜陰蒂尖頭震動按摩器 - 湖水綠,,,visible,,,,,,,,,,,,,,,,,,5338,6280,,,,,,,L13,,,,,,1,顏色,湖水綠,,0,,,,,,,,,
,variation,L13-2,LELO｜DOT｜陰蒂尖頭震動按摩器 - 淡紫,,,visible,,,,,,,,,,,,,,,,,,5338,6280,,,,,,,L13,,,,,,2,顏色,淡紫,,0,,,,,,,,,
,variation,L13-3,LELO｜DOT｜陰蒂尖頭震動按摩器 - 淡粉,,,visible,,,,,,,,,,,,,,,,,,5338,6280,,,,,,,L13,,,,,,3,顏色,淡粉,,0,,,,,,,,,
,variable,L14,Lelo｜Dot Travel｜陰蒂點潮筆震動棒,,,visible,"• 旅行鎖設計，輕鬆隨身攜帶
• 陰蒂多重高潮利器
• 橢圓震動模式
• 柔軟可彎折尖端
• 8種模式
• 小於60分貝靜音設計
• USB針式充電，持久續航
• IPX7 100%防水
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,2949,3469,"LELO, 給妳的獨享時光 > 震動式按摩器, 給妳的獨享時光",,,,,,,,,,,,0,顏色,"亮紫, 玫粉",1,0,亮紫,,,,,,,,
,variation,L14-1,Lelo｜Dot Travel｜陰蒂點潮筆震動棒 - 亮紫,,,visible,,,,,,,,,,,,,,,,,,2949,3469,,,,,,,L14,,,,,,1,顏色,亮紫,,0,,,,,,,,,
,variation,L14-2,Lelo｜Dot Travel｜陰蒂點潮筆震動棒 - 玫粉,,,visible,,,,,,,,,,,,,,,,,,2949,3469,,,,,,,L14,,,,,,2,顏色,玫粉,,0,,,,,,,,,
,variable,L15,LELO｜TOR 3｜振動陰莖環,,,visible,"• 情侶共震器
• 藍芽手機APP遙控
• 8種震動模式
• 60分貝靜音設計
• USB針式充電
• IPX7 100%防水
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,4743,5580,"LELO, 給伴侶的激情調味, 給伴侶的激情調味 > 陰莖環",,,,,,,,,,,,0,顏色,"公爵黑, 午夜藍, 薰衣草紫",1,0,公爵黑,,,,,,,,
,variation,L15-1,LELO｜TOR 3｜振動陰莖環 - 公爵黑,,,visible,,,,,,,,,,,,,,,,,,4743,5580,,,,,,,L15,,,,,,1,顏色,公爵黑,,0,,,,,,,,,
,variation,L15-2,LELO｜TOR 3｜振動陰莖環 - 午夜藍,,,visible,,,,,,,,,,,,,,,,,,4743,5580,,,,,,,L15,,,,,,2,顏色,午夜藍,,0,,,,,,,,,
,variation,L15-3,LELO｜TOR 3｜振動陰莖環 - 薰衣草紫,,,visible,,,,,,,,,,,,,,,,,,4743,5580,,,,,,,L15,,,,,,3,顏色,薰衣草紫,,0,,,,,,,,,
,variable,L16,LELO｜SORAYA Beads｜後庭拉珠震動按摩器,,,visible,"• 男女通用後庭專用按摩器
• Bow Motion設計，每顆拉珠都在體內共振
• 瀑布狀拉珠設計
• 8種震動模式
• 60分貝靜音設計
• USB針式充電
• IPX7 100%防水
• 食品級安全親膚矽膠",,,,,,,,,,,,,,,,,6783,7980,"LELO, 給妳的獨享時光 > 後庭系列, 給妳的獨享時光",,,,,,,,,,,,0,顏色,"公爵黑, 薰衣草紫",1,0,公爵黑,,,,,,,,
,variation,L16-1,LELO｜SORAYA Beads｜後庭拉珠震動按摩器 - 公爵黑,,,visible,,,,,,,,,,,,,,,,,,6783,7980,,,,,,,L16,,,,,,1,顏色,公爵黑,,0,,,,,,,,,
,variation,L16-2,LELO｜SORAYA Beads｜後庭拉珠震動按摩器 - 薰衣草紫,,,visible,,,,,,,,,,,,,,,,,,6783,7980,,,,,,,L16,,,,,,2,顏色,薰衣草紫,,0,,,,,,,,,
